标签,名称,关系,标签A,名称A
type,湖泊,实例,item,瘦西湖
type,公园,实例,item,瘦西湖
type,水域,实例,item,瘦西湖
type,音乐,实例,item,野三坡
type,河北,实例,item,野三坡
type,景区,实例,item,野三坡
type,王菲,实例,item,野三坡
type,国家森林公园,实例,item,野三坡
type,地理,实例,item,神农山
type,旅游,实例,item,神农山
type,地域,实例,item,神农山
type,景观,实例,item,神农山
type,山脉,实例,item,神农山
type,地理,实例,item,泰山
type,文化,实例,item,泰山
type,山东,实例,item,泰山
type,名胜,实例,item,泰山
type,山峰,实例,item,泰山
type,词语,实例,item,泰山
type,汉语,实例,item,泰山
type,美国,实例,item,泰山
type,小说人物,实例,item,泰山
type,虚拟人物,实例,item,泰山
type,动画片,实例,item,泰山
type,大熊猫,实例,item,泰山
type,旅游,实例,item,大雁塔
type,文物古迹,实例,item,大雁塔
type,西安,实例,item,大雁塔
type,全国重点文物保护单位,实例,item,大雁塔
type,标志性建筑,实例,item,大雁塔
type,旅游,实例,item,武夷山
type,福建,实例,item,武夷山
type,名山,实例,item,武夷山
type,世界自然文化遗产,实例,item,武夷山
type,中国历史,实例,item,刘公岛
type,山东,实例,item,刘公岛
type,旅游景点,实例,item,刘公岛
type,威海,实例,item,刘公岛
type,刘公岛,实例,item,刘公岛
type,革命圣地,实例,item,西柏坡
type,中国革命史,实例,item,西柏坡
type,红色旅游,实例,item,西柏坡
type,爱国主义教育示范基地,实例,item,西柏坡
type,河北省平山县,实例,item,西柏坡
type,地理,实例,item,上海科技馆
type,旅游,实例,item,上海科技馆
type,科技,实例,item,上海科技馆
type,上海,实例,item,上海科技馆
type,博物馆,实例,item,上海科技馆
type,风景,实例,item,云台山
type,旅游,实例,item,云台山
type,名胜,实例,item,云台山
type,风景名胜,实例,item,云台山
type,世界地质公园,实例,item,云台山
type,风景区,实例,item,云台山
type,旅游景点,实例,item,云台山
type,国家级风景名胜区,实例,item,云台山
type,贵州,实例,item,云台山
type,世界自然遗产,实例,item,云台山
type,黔东南,实例,item,云台山
type,中国南方喀斯特,实例,item,云台山
type,南溪风景,实例,item,云台山
type,地理,实例,item,青龙峡
type,旅游,实例,item,青龙峡
type,北京,实例,item,青龙峡
type,云南,实例,item,青龙峡
type,怀柔,实例,item,青龙峡
type,焦作青龙峡,实例,item,青龙峡
type,北京,实例,item,什刹海
type,旅游景点,实例,item,什刹海
type,历史文化,实例,item,什刹海
type,老北京,实例,item,什刹海
type,音乐专辑,实例,item,什刹海
type,功夫剧,实例,item,什刹海
type,文化,实例,item,崇圣寺三塔
type,旅游,实例,item,崇圣寺三塔
type,云南,实例,item,崇圣寺三塔
type,全国重点文物保护单位,实例,item,崇圣寺三塔
type,景点区,实例,item,崇圣寺三塔
type,旅游,实例,item,蓬莱阁
type,景观,实例,item,蓬莱阁
type,建筑群,实例,item,蓬莱阁
type,蓬莱,实例,item,蓬莱阁
type,阁楼,实例,item,蓬莱阁
type,文化,实例,item,三清山
type,旅游,实例,item,三清山
type,山峰,实例,item,三清山
type,世界文化遗产,实例,item,三清山
type,上饶,实例,item,三清山
type,佛教,实例,item,普陀山
type,旅游,实例,item,普陀山
type,浙江,实例,item,普陀山
type,普陀山,实例,item,普陀山
type,国家5A级旅游风景区,实例,item,普陀山
type,地理,实例,item,雁栖湖
type,北京名胜,实例,item,雁栖湖
type,旅游,实例,item,戒台寺
type,北京,实例,item,戒台寺
type,文物,实例,item,戒台寺
type,寺院,实例,item,戒台寺
type,景区,实例,item,戒台寺
type,佛教,实例,item,八大处公园
type,旅游,实例,item,八大处公园
type,北京,实例,item,八大处公园
type,公园,实例,item,八大处公园
type,全国重点文物保护单位,实例,item,八大处公园
type,旅游,实例,item,司马台长城
type,北京,实例,item,司马台长城
type,历史遗迹,实例,item,司马台长城
type,风景名胜区,实例,item,司马台长城
type,长城,实例,item,司马台长城
type,旅游,实例,item,北京动物园
type,北京,实例,item,北京动物园
type,公园,实例,item,北京动物园
type,动物园,实例,item,北京动物园
type,北京动物园,实例,item,北京动物园
type,地理,实例,item,井冈山
type,诗词,实例,item,井冈山
type,电视剧,实例,item,井冈山
type,革命圣地,实例,item,井冈山
type,国民旅游休闲网,实例,item,井冈山
type,文化,实例,item,大觉寺
type,旅游,实例,item,大觉寺
type,北京,实例,item,大觉寺
type,寺院,实例,item,大觉寺
type,风景名胜区,实例,item,大觉寺
type,旅游,实例,item,北京植物园
type,景点,实例,item,北京植物园
type,风景名胜区,实例,item,北京植物园
type,植物园,实例,item,北京植物园
type,国民旅游休闲网,实例,item,北京植物园
type,旅游,实例,item,龙庆峡
type,北京,实例,item,龙庆峡
type,自然景观,实例,item,龙庆峡
type,风景名胜区,实例,item,龙庆峡
type,延庆景区,实例,item,龙庆峡
type,四川,实例,item,青城山
type,世界文化遗产,实例,item,青城山
type,成都,实例,item,青城山
type,名山,实例,item,青城山
type,风景名胜区,实例,item,青城山
type,旅游,实例,item,青城山
type,风景区,实例,item,青城山
type,四川省,实例,item,青城山
type,地理,实例,item,五大连池
type,旅游,实例,item,五大连池
type,湖泊,实例,item,五大连池
type,城市,实例,item,五大连池
type,满语,实例,item,五大连池
type,图片,实例,item,五大连池
type,五大连池,实例,item,五大连池
type,福建,实例,item,鼓浪屿
type,旅游景点,实例,item,鼓浪屿
type,厦门,实例,item,鼓浪屿
type,文化遗产,实例,item,鼓浪屿
type,5A景区,实例,item,鼓浪屿
type,旅游,实例,item,三峡大坝
type,湖北,实例,item,三峡大坝
type,宜昌,实例,item,三峡大坝
type,水利,实例,item,三峡大坝
type,电力工程,实例,item,三峡大坝
type,旅游,实例,item,天坛公园
type,公园,实例,item,天坛公园
type,名胜古迹,实例,item,天坛公园
type,文化遗产,实例,item,天坛公园
type,宏源阁博物馆,实例,item,天坛公园
type,文化,实例,item,宋庆龄故居
type,旅游,实例,item,宋庆龄故居
type,古迹,实例,item,宋庆龄故居
type,历史,实例,item,宋庆龄故居
type,旅游,实例,item,八达岭长城
type,古建筑,实例,item,八达岭长城
type,文化遗产,实例,item,八达岭长城
type,长城,实例,item,八达岭长城
type,全国重点文物保护单位,实例,item,八达岭长城
type,旅游,实例,item,桂林乐满地主题乐园
type,桂林,实例,item,桂林乐满地主题乐园
type,广西,实例,item,桂林乐满地主题乐园
type,5A景区,实例,item,桂林乐满地主题乐园
type,兴安,实例,item,桂林乐满地主题乐园
type,旅游,实例,item,潭柘寺
type,建筑,实例,item,潭柘寺
type,遗址,实例,item,潭柘寺
type,寺院,实例,item,潭柘寺
type,庙宇,实例,item,潭柘寺
type,旅游,实例,item,横店影视城
type,浙江,实例,item,横店影视城
type,景点,实例,item,横店影视城
type,风景名胜,实例,item,横店影视城
type,影视基地,实例,item,横店影视城
type,旅游,实例,item,葡萄沟
type,新疆,实例,item,葡萄沟
type,葡萄,实例,item,葡萄沟
type,吐鲁番,实例,item,葡萄沟
type,国家5A级旅游景区,实例,item,葡萄沟
type,地理,实例,item,镜泊湖
type,旅游,实例,item,镜泊湖
type,自然,实例,item,镜泊湖
type,地理,实例,item,中山公园
type,人文,实例,item,中山公园
type,旅游,实例,item,中山公园
type,公园,实例,item,中山公园
type,景点,实例,item,中山公园
type,中山公园,实例,item,中山公园
type,济南公园,实例,item,中山公园
type,绿化,实例,item,中山公园
type,北海市,实例,item,中山公园
type,旅游,实例,item,净月潭
type,吉林,实例,item,净月潭
type,长春,实例,item,净月潭
type,地理,实例,item,盘山风景区
type,旅游,实例,item,盘山风景区
type,天津,实例,item,盘山风景区
type,景点,实例,item,盘山风景区
type,地质公园,实例,item,盘山风景区
type,旅游,实例,item,云居寺
type,北京,实例,item,云居寺
type,景点,实例,item,云居寺
type,世界文化遗产,实例,item,云居寺
type,寺院,实例,item,云居寺
type,地理,实例,item,响沙湾
type,旅游,实例,item,响沙湾
type,景观,实例,item,响沙湾
type,沙漠,实例,item,响沙湾
type,沙丘,实例,item,响沙湾
type,地理,实例,item,岳麓山
type,旅游,实例,item,岳麓山
type,地域,实例,item,岳麓山
type,景观,实例,item,岳麓山
type,山峰,实例,item,岳麓山
type,旅游,实例,item,世界公园
type,名胜,实例,item,世界公园
type,景观,实例,item,世界公园
type,图书,实例,item,世界公园
type,世界文化,实例,item,世界公园
type,北京,实例,item,居庸关长城
type,景点,实例,item,居庸关长城
type,名胜古迹,实例,item,居庸关长城
type,长城,实例,item,居庸关长城
type,昌平,实例,item,居庸关长城
type,旅游,实例,item,景山公园
type,北京,实例,item,景山公园
type,古迹,实例,item,景山公园
type,名胜,实例,item,景山公园
type,景点,实例,item,景山公园
type,旅游,实例,item,京东大峡谷
type,北京,实例,item,京东大峡谷
type,名胜,实例,item,京东大峡谷
type,峡谷,实例,item,京东大峡谷
type,郊区,实例,item,京东大峡谷
type,中国城市,实例,item,奉化
type,宁波,实例,item,奉化
type,蒋介石,实例,item,奉化
type,浙江城市,实例,item,奉化
type,浙江县区,实例,item,奉化
type,艺术,实例,item,故宫博物院
type,文物,实例,item,故宫博物院
type,博物馆,实例,item,故宫博物院
type,历史文化,实例,item,故宫博物院
type,建筑,实例,item,故宫博物院
type,历史,实例,item,故宫博物院
type,故宫,实例,item,故宫博物院
type,文化遗产,实例,item,故宫博物院
type,地理,实例,item,沙湖
type,旅游,实例,item,沙湖
type,湖泊,实例,item,沙湖
type,沙漠,实例,item,沙湖
type,景区,实例,item,沙湖
type,宁夏,实例,item,沙坡头
type,生态,实例,item,沙坡头
type,旅行,实例,item,沙坡头
type,沙漠,实例,item,沙坡头
type,中卫,实例,item,沙坡头
type,人文,实例,item,夫子庙
type,旅游,实例,item,夫子庙
type,历史,实例,item,夫子庙
type,名胜古迹,实例,item,夫子庙
type,南京,实例,item,夫子庙
type,旅游,实例,item,老舍茶馆
type,北京,实例,item,老舍茶馆
type,人物,实例,item,老舍茶馆
type,老舍,实例,item,老舍茶馆
type,茶馆,实例,item,老舍茶馆
type,北京,实例,item,九龙游乐园
type,旅游胜地,实例,item,九龙游乐园
type,昌平,实例,item,九龙游乐园
type,游乐园,实例,item,九龙游乐园
type,十三陵,实例,item,九龙游乐园
type,旅游,实例,item,中华民族园
type,北京,实例,item,中华民族园
type,公园,实例,item,中华民族园
type,景点,实例,item,中华民族园
type,博物馆,实例,item,中华民族园
type,地理,实例,item,小三峡
type,旅游,实例,item,小三峡
type,名胜,实例,item,小三峡
type,重庆,实例,item,小三峡
type,国家5A级旅游景区,实例,item,小三峡
type,文化,实例,item,紫竹院公园
type,旅游,实例,item,紫竹院公园
type,北京,实例,item,紫竹院公园
type,公园,实例,item,紫竹院公园
type,景点,实例,item,紫竹院公园
type,地理,实例,item,龙宫风景区
type,旅游,实例,item,龙宫风景区
type,风景区,实例,item,龙宫风景区
type,贵州,实例,item,龙宫风景区
type,旅游,实例,item,龙潭公园
type,山东,实例,item,龙潭公园
type,柳州,实例,item,龙潭公园
type,广西,实例,item,龙潭公园
type,临沂,实例,item,龙潭公园
type,地理,实例,item,青天河
type,旅游,实例,item,青天河
type,地域,实例,item,青天河
type,风景区,实例,item,青天河
type,景观,实例,item,青天河
type,地理,实例,item,鸡冠洞
type,旅游,实例,item,鸡冠洞
type,景观,实例,item,鸡冠洞
type,溶洞,实例,item,鸡冠洞
type,洞穴,实例,item,鸡冠洞
type,文化,实例,item,神堂峪自然风景区
type,旅游,实例,item,神堂峪自然风景区
type,风景区,实例,item,神堂峪自然风景区
type,景点,实例,item,神堂峪自然风景区
type,自然风景区,实例,item,神堂峪自然风景区
type,中国,实例,item,黄龙风景名胜区
type,地理,实例,item,黄龙风景名胜区
type,四川,实例,item,黄龙风景名胜区
type,世界遗产,实例,item,黄龙风景名胜区
type,风景名胜,实例,item,黄龙风景名胜区
type,旅游,实例,item,天堂寨
type,安徽,实例,item,天堂寨
type,湖北,实例,item,天堂寨
type,金寨,实例,item,天堂寨
type,罗田,实例,item,天堂寨
type,文化,实例,item,白云山风景区
type,旅游,实例,item,白云山风景区
type,文化,实例,item,桂林漓江风景区
type,旅游,实例,item,桂林漓江风景区
type,休闲,实例,item,桂林漓江风景区
type,桂林,实例,item,桂林漓江风景区
type,广西,实例,item,桂林漓江风景区
type,地理,实例,item,双龙峡风景区
type,文化,实例,item,双龙峡风景区
type,旅游,实例,item,双龙峡风景区
type,景点,实例,item,双龙峡风景区
type,地理,实例,item,珍珠湖风景区
type,文化,实例,item,珍珠湖风景区
type,旅游,实例,item,珍珠湖风景区
type,景点,实例,item,珍珠湖风景区
type,自然风景,实例,item,珍珠湖风景区
type,旅游,实例,item,云蒙山国家森林公园
type,北京,实例,item,云蒙山国家森林公园
type,景点,实例,item,云蒙山国家森林公园
type,森林公园,实例,item,云蒙山国家森林公园
type,环境,实例,item,云蒙山国家森林公园
type,地理,实例,item,金海湖风景区
type,文化,实例,item,金海湖风景区
type,旅游,实例,item,金海湖风景区
type,景点,实例,item,金海湖风景区
type,地理,实例,item,老君山
type,旅游,实例,item,老君山
type,地域,实例,item,老君山
type,景观,实例,item,老君山
type,山峰,实例,item,老君山
type,景点,实例,item,老君山
type,老君山,实例,item,老君山
type,云南老君山,实例,item,老君山
type,四川,实例,item,老君山
type,绵阳,实例,item,老君山
type,江油,实例,item,老君山
type,休闲,实例,item,沈阳植物园
type,公园,实例,item,沈阳植物园
type,人文景观,实例,item,沈阳植物园
type,国家5A级旅游景区,实例,item,沈阳植物园
type,风景区,实例,item,濠河
type,旅游胜地,实例,item,濠河
type,南通,实例,item,濠河
type,自然风景区,实例,item,濠河
type,护城河,实例,item,濠河
type,旅游,实例,item,黑山谷景区
type,风景区,实例,item,黑山谷景区
type,重庆,实例,item,黑山谷景区
type,旅游,实例,item,北京海洋馆
type,北京,实例,item,北京海洋馆
type,海洋馆,实例,item,北京海洋馆
type,水族馆,实例,item,北京海洋馆
type,北京动物园,实例,item,北京海洋馆
type,旅游,实例,item,慕田峪
type,北京,实例,item,慕田峪
type,地名,实例,item,慕田峪
type,长城,实例,item,慕田峪
type,慕田峪,实例,item,慕田峪
type,旅游,实例,item,蟒山国家森林公园
type,北京,实例,item,蟒山国家森林公园
type,景点,实例,item,蟒山国家森林公园
type,森林公园,实例,item,蟒山国家森林公园
type,环境,实例,item,蟒山国家森林公园
type,旅游,实例,item,圣莲山
type,圣米石塘,实例,item,圣莲山
type,莲花山,实例,item,圣莲山
type,京西小五岳,实例,item,圣莲山
type,旅游,实例,item,秦始皇兵马俑博物馆
type,历史,实例,item,秦始皇兵马俑博物馆
type,陕西,实例,item,秦始皇兵马俑博物馆
type,博物馆,实例,item,秦始皇兵马俑博物馆
type,兵马俑,实例,item,秦始皇兵马俑博物馆
type,旅游,实例,item,溱湖
type,喜鹊湖,实例,item,溱湖
type,溱湖国家湿地公园,实例,item,溱湖
type,旅游,实例,item,玉渊潭公园
type,北京,实例,item,玉渊潭公园
type,风景区,实例,item,玉渊潭公园
type,公园,实例,item,玉渊潭公园
type,国民旅游休闲网,实例,item,玉渊潭公园
type,旅游,实例,item,香山公园
type,北京,实例,item,香山公园
type,公园,实例,item,香山公园
type,景点,实例,item,香山公园
type,香山,实例,item,香山公园
type,文化,实例,item,中国印刷博物馆
type,建筑,实例,item,中国印刷博物馆
type,博物馆,实例,item,中国印刷博物馆
type,印刷术,实例,item,中国印刷博物馆
type,遗址,实例,item,周口店遗址博物馆
type,历史,实例,item,周口店遗址博物馆
type,博物馆,实例,item,周口店遗址博物馆
type,社会,实例,item,北京天文馆
type,文化,实例,item,北京天文馆
type,天文,实例,item,北京天文馆
