标签,名称,方言,国籍,开发建设时间,当地特产,地址,森林覆盖率,文物原属,野生动物,奉化名人,经纪公司,交通,平均海拔,拓片现藏,主要设施,名人,职业,代表作品,海拔高度,特点,票价,娱乐设施,主峰,深度,公司性质,成立时间,所属区域,邮政区码,机场,主要游览内容,气候条件,动物种类,人口,制片地区,体制,周边景点,建造人物,服务,产地,毕业院校,拼音,公司名称,蓄水量,主要成就,信仰,大自然奇迹,规模,市树市花市鸟,政府驻地,海岸线,收藏,总部地点,园林名录,植物展览区,其它译名,开放时间,最早森林公园,作者,分布区域,下辖地区,建筑面积,保护级别,高,旅游级别,等级,文物收藏,馆藏精品,现名,所属地区,酒店住宿,道教圣地,主演,现藏,藏品数量,主要景点,所在地区,建造时间,占地面积,经纬度,国外播放,经营理念,车牌代码,景区面积,藏品,瀑布类型,编剧,级别,植被覆盖率,荣誉,中文名称,面积,蒙古语,水位,名楼四,人文景观,誉称,海拔,景区等级,别名,植物种类,邮政编码,地点,出生地,实际高度,园林性质,正式开放时间,最高峰,作品出处,世界遗产,藏语 ,拍摄地点,著名景点,距北京市,名誉,景观区域,形成地点,竣工时间,属性,导演,岛屿,地理位置,上映时间,火车站,申报单位,平均水深,集数,民族,主要产品,西班牙语,区长,行政区划代码,规划面积,景区四绝,景区位置,景区组成,出家地,特产,名人故居,展示植物,友好城市,售票时间,名楼二,奠基时间,民间建筑代表,外文名称,名胜古迹,总面积,风景区级别,申报地区,保存,莲花瓣,已探深度,起始时间,出品时间,佛体,类别,终点,名楼一,国内播放,馆藏,门票价格,全长,员工数,电话区号,行政区类别,景区特产,休馆时间,最高海拔
item,华山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,华山, , , , , , , , , , ,, , , , , , , , , , ,长空栈道，苍龙岭，华山峪, , , , , , , , ,陕西省渭南华阴市,, , , , , , , , ,, , , , , , , , , , , , , ,Mount Hua, , , , , , , , ,, ,国家级风景名胜区, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,长城, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , ,嘉峪关, , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,九寨沟, , ,, , ,, , , , , , , , , , , ,,翠海、叠海、彩林、雪山、藏情, , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,川U, , , , ,国家AAAAA级旅游景区, , ,九寨沟,62k㎡, , , , , , , , , ,, , , , , , , , , , ,日则沟、宝镜岩、盆景滩、芦苇海, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Jiuzhaigou, , , , , , , , ,, , , , , , , , , ,837, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,都江堰, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , ,李冰父子, , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,四川省成都市都江堰市灌口镇, , , , , , , ,公元前256年, , , , , , , , , , , , ,都江堰, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Dujiang yan, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,黄山,徽语，又称“徽州话”,中国,, , ,, , , , , , , , , ,RINGDOLL设计总监人型师，妆效师,《画夜》,, , , , , , , , ,245000,黄山屯溪机场, ,温暖湿润、典型的江南气候, ,135, , , , , , , , , ,,《画夜》COSPLAY作品,COSPLAY, , ,黄山松，黄山杜鹃，红嘴相思鸟,屯溪区天都大道,, , , , , , , , , ,3个市辖区、4个县和黄山风景区, , , , , , , , ,中国华东，安徽省境内, , , , , , , , , ,北纬30, , ,皖J, , , , , , ,中国公众最向往的旅游城市,黄山,9807平方千米, , , , , , , ,coser黄山, ,242700, , , , , , , , , , ,黄山，牯牛降，齐云山，徽州古城，屯溪老街，西递宏村古民居, , , , , , , , ,安徽省南部，新安江上游,,黄山站, , , ,汉, , , ,341000, ,奇松，怪石，云海，温泉, , , , , , ,丽江，张家界，开普敦、因特拉肯, , , , ,Huangshan, , , , , , , , ,, , , , , , , , , ,559,地级市, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,千岛湖, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国华南, , , , , , , , , , , , , , , , , , , , ,千岛湖,567, ,108米, , , , , ,新安江水库, ,, , , , , , , , , , , , , , , , , , ,1078个, ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,崂山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,崂山, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Mount Laoshan, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,武当山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,湖北省西北部, , , , , , , , , , , , , , , , , , , ,全国文明风景名胜区,武当山,312平方千米, , , , , , , ,太和山、谢罗山、参上山, ,, , , , , , , , , , ,太和宫，玄岳门、隐仙岩, , , , , , , , ,湖北省西北部的十堰市丹江口境内,, , , , , , , , ,, , , , , , , , , , , , , ,Wudang Mountains, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,承德避暑山庄, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,承德市, , , , , , , ,一七零三年, , , , , , , , , ,国家5A级旅游景区, , ,承德避暑山庄, , , , , , , , , , ,, , , , , , , , , , ,殊像寺，七十二景，正宫等, , , , , , , , ,河北省承德市北部,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,,河北省承德市北部, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,井冈山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , ,茨坪、黄洋界、龙潭, , , , , , , , , , , , , , ,井冈山, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,江西省西南部,, , , , , , , , ,, , , , , , , , , , , , , ,Jinggangshan, , , , , , , , ,, , , , , , , , , ,, , , ,南风屏海拔2120米
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,黄果树瀑布, , ,,蜡染，刺绣，黄果, ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,喀斯特地形地区, , , , , , , , , , , , , , , ,侵蚀裂典型瀑布, , , , ,黄果树瀑布, , , , , , , , , , ,, , ,高77, , , , , , , ,天然盆景区，天星洞，水上石林区, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,喀纳斯湖, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,,喀纳斯机场, , , , , , , , , , , , , ,53, , , , , , ,, , , , , , , , , , , , , , , , , , ,新疆阿勒泰布尔津县, , , , , , , , , , , , , , , , , , , ,国家5A级旅游景区,喀纳斯湖,45, , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , ,120米, , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,庐山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,列入《世界遗产名录》,庐山国家公园, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,江西省九江市,, , , , , , , , ,, , , , , , , , , , , , , ,Mount, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,万里长城, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , ,嘉峪关, , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,瘦西湖, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , ,扬州市, , , , , , , , ,中国江苏省, , , , , , , , , , , , , , , , , , , , ,瘦西湖,1, , , , , , , , , ,, , , , , , , , , , ,十里瘦西湖, , , , , , , , ,江苏省扬州市西北郊,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,故宫, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , ,全天, , , , , , , , , , ,清明上河图，金瓯永固杯，平复帖, , , , , , , , , , , , , , , , , , , , , , ,南京明故宫遗址公园, , , , , , , ,AAAAA, , ,,南京市玄武区中山东路311号, , , , , , , , , , , , , , ,1395年, , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Nanjing Ming Palace Ruins Park, , , , , , , , ,, ,遗址公园, , , , ,旺季60元，淡季40元, , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,大唐芙蓉园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , ,中国, , , , , , , , ,, , , , , , ,, , , , ,杨贵妃, , , , , , , , , , , , , , , , ,赵文瑄，范冰冰，臧金生，高亚麟, , , , , , , ,日本东京电视台, , , , , ,江奇涛, , , ,大唐芙蓉园, , , , , , , , , , ,, , , , , , , , , , , , , , , , , ,周晓文, , ,2007/1/1, , , ,30集, , , , ,, , , , , , , , , , , , , ,Da Tang Fu Rong Yuan, , , , , , , , ,2007/1/1, ,历史、古装、宫廷, , ,CCTV8, , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,龙虎山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,335402, , , , ,120万, , , , , , , , , ,, , , , , , ,, , , , , , , , , ,鹰潭市, , , , , , , , ,中国 江西省, , , , , , , , , , , , , , , , , , , , ,龙虎山,220平方公里, , , , , , , , , ,, , , , , , , , , , ,应天山、象山, , , , , , , , ,江西省鹰潭市的龙虎山风景名胜区,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,701, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,岳阳楼, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,湖南岳阳, , , , , , , , , , , , , , , , , , , , ,岳阳楼, , , , , , , , ,阅军楼、巴陵城楼, ,, , , , , , , , , , , , , , , , , , , ,巴丘山下,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,圆明园遗址公园, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,圆明园, , , , , , , , , , ,,北京市海淀区西北郊, , , , , , , , , , , , , , ,1709年, , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,The Old Summer Palace, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,国子监, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国华北、中国华东, , , , , , , ,公元1306年, , , , , , , , , , , , ,国子监, , , , , , , , ,中央官学, ,, , , , , , , , , , ,集贤门，琉璃坊牌坊, , , , , , , , ,北京国子监街、南京成贤街,, , , , , , , , ,, , , , , , , , , , , , , ,Imperial Academy, , , , , , , , ,, , , , , , , , , ,,北京、南京, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,五台山,砂河话, ,, , ,, , , , , , , , , , , ,, , , , , , , , ,,五台山机场（在建）, , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,山西繁峙县，五台县, , , , , , , , , , , , , , , , , , , , ,五台山, , , , , , , , ,清凉山, ,, , , , , , , , , , ,岩山寺，大雄宝殿, , , , , , , , ,山西省忻州市繁峙县，五台县,, , , , , , , , ,, , , , , , , , , , , , , ,WU TAI  SHAN, , , , , , , , ,, , , , , , , , , ,350,风景区, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,伪满皇宫博物院, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,伪满皇宫博物院, , , , , , , , , , ,,长春, , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,the Puppet Manchurian Palace, , , , , , , , ,, ,历史警示性博物馆, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,清源山, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国 泉州, , , , , , , , , , , , , , , , , , , , ,清源山,山脉绵延20公里, , , , , , , ,闽海蓬莱第一山, ,, , , , , , , , , , ,泓一大师舍利塔, , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Qingyuan Mountain, , , , , , , , ,, , , , , , , , , ,, , , , 
